,Bairro,Quartos,Vagas,Suites,Area,Valor,Condominio,IPTU
12,Lins de Vasconcelos,3,1,1,90,1500.0,455.0,14.0
21,Tijuca,2,1,0,110,1900.0,700.0,138.0
24,Tijuca,2,1,0,78,2000.0,700.0,0.0
32,Botafogo,2,1,0,76,2500.0,740.0,0.0
36,Recreio dos Bandeirantes,3,1,1,105,2300.0,648.0,0.0
48,Recreio dos Bandeirantes,3,2,2,100,2600.0,380.0,0.0
49,Barra da Tijuca,3,1,1,72,2350.0,600.0,70.0
51,Recreio dos Bandeirantes,3,1,2,92,2300.0,840.0,200.0
57,Recreio dos Bandeirantes,2,1,2,83,1600.0,1160.0,157.0
64,Méier,3,1,0,90,1550.0,844.0,80.0
67,Maracanã,2,0,0,86,1800.0,600.0,82.0
68,Recreio dos Bandeirantes,2,1,1,74,1850.0,675.0,200.0
70,Jacarepaguá,3,1,1,74,1900.0,556.0,98.0
90,Barra da Tijuca,3,2,1,104,2600.0,1364.0,406.0
93,Barra da Tijuca,2,1,1,88,2700.0,1300.0,2042.0
96,Bonsucesso,2,1,0,77,1500.0,740.0,0.0
97,Barra da Tijuca,3,2,2,85,2500.0,1400.0,190.0
98,Todos os Santos,3,1,1,78,1450.0,630.0,73.0
104,Barra da Tijuca,2,1,1,78,2750.0,1300.0,138.0
107,Recreio dos Bandeirantes,2,1,1,90,2400.0,1700.0,135.0
114,Tijuca,2,1,0,80,1800.0,1100.0,84.0
118,Tijuca,3,1,0,172,2700.0,780.0,170.0
119,Freguesia (Jacarepaguá),4,3,2,261,2800.0,2535.0,3900.0
124,Botafogo,2,1,1,83,2800.0,560.0,138.0
135,Catete,2,0,0,77,2400.0,1130.0,140.0
141,Recreio dos Bandeirantes,3,2,1,90,1200.0,880.0,144.0
147,Praça Seca,2,0,0,80,900.0,350.0,0.0
154,Freguesia (Jacarepaguá),2,1,1,74,1700.0,652.0,104.0
167,Recreio dos Bandeirantes,2,1,1,75,1000.0,1040.0,112.0
177,Recreio dos Bandeirantes,3,2,1,104,2200.0,740.0,258.0
179,Barra da Tijuca,2,1,1,72,2600.0,1700.0,237.0
180,Taquara,2,1,0,75,1200.0,330.0,75.0
187,Freguesia (Jacarepaguá),2,1,1,71,1200.0,600.0,54.0
190,Tijuca,3,0,0,87,1600.0,650.0,100.0
197,Barra da Tijuca,3,1,2,93,2500.0,1100.0,0.0
198,Engenho Novo,2,2,0,78,800.0,915.0,55.0
199,Barra da Tijuca,2,1,1,85,2500.0,1573.0,197.0
202,Freguesia (Jacarepaguá),2,1,1,95,1600.0,650.0,0.0
218,Tijuca,3,1,1,78,2500.0,730.0,178.0
223,Recreio dos Bandeirantes,3,2,1,102,1850.0,882.0,0.0
227,Maracanã,3,2,3,158,2400.0,1265.0,0.0
228,Barra da Tijuca,2,1,1,83,2000.0,1548.0,260.0
230,Barra da Tijuca,3,1,1,84,1900.0,1103.0,212.0
231,Freguesia (Jacarepaguá),3,1,1,77,1600.0,850.0,165.0
234,Tijuca,3,0,0,75,1800.0,350.0,0.0
246,Tijuca,2,1,1,71,1500.0,600.0,0.0
247,Barra da Tijuca,2,1,1,81,1900.0,1200.0,121.0
263,Laranjeiras,3,1,1,90,2400.0,1311.0,0.0
276,Tijuca,3,1,0,129,1800.0,850.0,116.0
279,Recreio dos Bandeirantes,2,1,1,93,1400.0,1300.0,0.0
280,Freguesia (Jacarepaguá),3,1,1,93,1800.0,650.0,95.0
298,Recreio dos Bandeirantes,2,1,1,80,1600.0,615.0,3.0
301,Freguesia (Jacarepaguá),3,1,0,84,1500.0,900.0,0.0
308,Ilha do Governador,3,1,0,83,1500.0,440.0,132.0
309,Olaria,2,0,0,90,1000.0,150.0,0.0
311,Maracanã,3,1,0,95,2500.0,600.0,80.0
325,Barra da Tijuca,3,1,1,105,2500.0,1400.0,1500.0
335,Gávea,3,0,1,120,2700.0,880.0,238.0
346,Recreio dos Bandeirantes,3,3,1,132,2800.0,879.0,0.0
349,Recreio dos Bandeirantes,2,1,1,80,1700.0,690.0,150.0
354,Barra da Tijuca,2,1,1,77,2500.0,830.0,156.0
359,Recreio dos Bandeirantes,3,2,2,106,2500.0,780.0,248.0
364,Barra da Tijuca,2,1,1,75,1400.0,1280.0,0.0
384,Recreio dos Bandeirantes,2,1,1,89,1800.0,884.0,170.0
397,Recreio dos Bandeirantes,2,0,0,75,1700.0,659.0,0.0
398,Copacabana,2,1,1,81,2900.0,893.0,190.0
405,Praça Seca,3,0,0,90,900.0,330.0,15.0
406,Vila Isabel,3,3,1,124,1700.0,1400.0,0.0
413,Freguesia (Jacarepaguá),3,2,1,126,1500.0,1000.0,150.0
415,Recreio dos Bandeirantes,3,2,1,94,1900.0,1300.0,198.0
420,São Francisco Xavier,3,1,1,73,1200.0,520.0,0.0
428,Laranjeiras,2,0,0,110,2500.0,968.0,167.0
431,Flamengo,2,0,0,85,2700.0,800.0,1150.0
450,Recreio dos Bandeirantes,2,1,2,85,2300.0,1350.0,125.0
461,Freguesia (Jacarepaguá),3,2,1,100,2100.0,780.0,140.0
464,Copacabana,3,0,0,80,2500.0,800.0,157.0
467,Recreio dos Bandeirantes,3,1,1,85,1900.0,450.0,112.0
485,Lagoa,2,1,1,80,2200.0,2600.0,420.0
488,Campo Grande,3,1,1,98,1800.0,950.0,0.0
498,Recreio dos Bandeirantes,3,2,1,150,2500.0,1012.0,0.0
503,Recreio dos Bandeirantes,2,2,1,115,1900.0,661.0,0.0
506,Recreio dos Bandeirantes,3,3,1,110,1500.0,873.0,0.0
514,Tijuca,3,1,0,88,2300.0,790.0,885.0
519,Tijuca,3,1,0,116,2000.0,790.0,194.0
520,Vila Isabel,3,0,0,82,1200.0,664.0,86.0
523,Freguesia (Jacarepaguá),3,1,1,90,1700.0,595.0,0.0
540,Maracanã,2,0,0,79,1700.0,600.0,0.0
548,Botafogo,2,0,0,115,2200.0,1045.0,190.0
552,Jacarepaguá,2,1,1,80,1900.0,1350.0,100.0
557,Bonsucesso,3,1,0,98,2800.0,390.0,0.0
564,Copacabana,2,1,0,74,2600.0,1021.0,0.0
565,Humaitá,2,1,0,75,2900.0,926.0,90.0
